顽固,wángù,stubborn; obstinate
折磨,zhémó,to torment; to torture
创立,chuànglì,to establish; to found; to set up
缴纳,jiǎonà,to pay (taxes etc)
跌,diē,(of prices etc) to drop; to fall; to trip; to tumble
历来,lìlái,(of) all-time; always; throughout (a period of time)
依据,yījù,according to; basis; foundation
祖父,zǔfù,father's father; paternal grandfather
情节,qíngjié,circumstances; plot; storyline
交代,jiāodài,(jocular) to come to a bad end; to confess; to account for oneself; to explain; to give an account; to brief; to give instructions; to tell (sb to do sth); to transfer (duties to sb else)
擅长,shàncháng,to be good at; to be expert in
泄气,xièqì,(disparaging) pathetic; (of a tire) to be flat; to be discouraged; to despair; to leak (gas); to vent one's anger
需求,xūqiú,(economics) demand; requirement; to require
娇气,jiāoqì,delicate; finicky; squeamish
反驳,fǎnbó,to refute; to retort
成心,chéngxīn,deliberate; intentional; on purpose
悲哀,bēiāi,grieved; sorrowful
扁,biǎn,(coll.) to beat (sb) up; flat
扁,piān,small boat
丸,wán,ball; pellet; pill
焦急,jiāojí,anxiety; anxious
太空,tàikōng,outer space
椭圆,tuǒyuán,ellipse; elliptic; oval
是非,shìfēi,quarrel; right and wrong
瞻仰,zhānyǎng,to admire; to revere
干涉,gānshè,interference; to interfere; to meddle
转达,zhuǎndá,to communicate; to convey; to pass on
不顾,bùgù,in spite of; regardless of
翘,qiáo,outstanding; to raise
翘,qiào,to rise on one end; to stick up; to tilt
国防,guófáng,national defense
皮革,pígé,leather
惋惜,wǎnxī,to feel sorry for sb; to feel that it is a great pity; to regret
分散,fēnsàn,to disperse; to distribute; to scatter
反问,fǎnwèn,rhetorical question; to answer a question with a question; to ask (a question) in reply
辩护,biànhù,to argue in favor of; to defend; to plead; to speak in defense of
抢劫,qiǎngjié,looting; to rob
气质,qìzhì,manners; personality traits; temperament
花蕾,huālěi,bud; flower bud
空虚,kōngxū,emptiness; hollow; meaningless
株,zhū,a plant; classifier for trees or plants; strain (biology); stump (tree root); to involve others (in shady business); tree trunk
拨,bō,classifier: group, batch; to allocate; to dial; to pluck (a string instrument); to poke (the fire); to push aside with the hand, foot, a stick etc; to set aside (money); to turn round
看待,kàndài,to look upon; to regard
声明,shēngmíng,declaration; statement; to declare; to state
正气,zhèngqì,(TCM) vital energy (resistance to diseases); healthy atmosphere; moral spirit; unyielding integrity; probity
公式,gōngshì,formula
黄昏,huánghūn,dusk; evening; nightfall
撒谎,sāhuǎng,to tell lies
警惕,jǐngtì,alert; on guard; to be on the alert; to warn; vigilant
公安局,gōngānjú,public security bureau (government office similar in function to a police station)
助手,zhùshǒu,assistant; helper
梢,shāo,tip of branch
良心,liángxīn,conscience
自满,zìmǎn,complacent; self-satisfied
维生素,wéishēngsù,vitamin
温带,wēndài,temperate zone
繁华,fánhuá,bustling; flourishing
坚硬,jiānyìng,hard; solid
审判,shěnpàn,a trial; to try sb
标本,biāoběn,specimen; sample; the root cause and symptoms of a disease
观光,guānguāng,sightseeing; to tour; tourism
相辅相成,xiāngfǔxiāngchéng,to complement one another (idiom)
聚精会神,jùjīnghuìshén,to concentrate one's attention (idiom)
权威,quánwēi,authoritative; authority; power and prestige
宁肯,nìngkěn,it would be better...; would prefer; would rather...
敷衍,fūyǎn,barely enough to get by; perfunctory; to botch; to do sth half-heartedly or just for show; to elaborate (on a theme); to expound (the classics); to skimp
不言而喻,bùyánéryù,it goes without saying; it is self-evident
查获,cháhuò,to track down and seize (a criminal suspect, contraband etc)
酒精,jiǔjīng,alcohol; ethanol CH3CH2OH; ethyl alcohol; grain alcohol
委员,wěiyuán,committee member
注射,zhùshè,injection; to inject
散文,sǎnwén,essay; prose
调料,tiáoliào,condiment; flavoring; seasoning
种子,zhǒngzi,seed
壮观,zhuàngguān,magnificent sight; spectacular
精打细算,jīngdǎxìsuàn,meticulous planning and careful accounting (idiom)
家伙,jiāhuo,(coll.) guy; chap; domestic animal; household dish, implement or furniture; weapon
世代,shìdài,age; era; for many generations; generation
生肖,shēngxiào,animal from the Chinese zodiac; one of the twelve animals symbolic of the earthly branches 地支[di4 zhi1]
逼迫,bīpò,to coerce; to compel; to force
版本,bǎnběn,edition; release; version
增添,zēngtiān,to add; to increase
恐怖,kǒngbù,frightening; frightful; terrible; terror; terrorist
舔,tiǎn,to lap; to lick
冷酷,lěngkù,unfeeling; callous
清除,qīngchú,to clear away; to eliminate; to get rid of
虚荣,xūróng,vanity
威信,Wēixìn,Weixin county in Zhaotong 昭通[Zhao1 tong1], Yunnan
威信,wēixìn,credit with the people; prestige; reputation; trust
童话,tónghuà,children's fairy tales
机动,jīdòng,adaptable; flexible (use, treatment, timing etc); locomotive; motorized; power-driven
党,dǎng,association; club; party; society
展现,zhǎnxiàn,to unfold before one's eyes; to emerge; to reveal; to display
信誉,xìnyù,distinction; prestige; reputation; trust
礼尚往来,lǐshàngwǎnglái,fig. to return politeness for politeness; lit. proper behavior is based on reciprocity (idiom)
心得,xīndé,insight; knowledge; tips; understanding; what one has learned (through experience, reading etc)
血压,xuèyā,blood pressure
确信,quèxìn,definite news; to be convinced; to be positive that; to be sure; to firmly believe
免得,miǎnde,so as not to; so as to avoid
性能,xìngnéng,function; performance; behavior
迷信,míxìn,superstition; to have a superstitious belief (in sth)
磨合,móhé,to break in; to wear in
方位,fāngwèi,azimuth; bearing; direction; points of the compass; position
诽谤,fěibàng,to libel; to slander
本身,běnshēn,in itself; itself; per se
体系,tǐxì,setup; system
丢三落四,diūsānlàsì,empty-headed; forgetful
季度,jìdù,quarter of a year; season (sports)
飞禽走兽,fēiqínzǒushòu,birds and animals; the beasts of the field and the birds of the air
枯萎,kūwěi,drained; enervated; exhausted; to wilt; to wither; wilted; withered
出息,chūxi,future prospects; profit; to grow up; to mature
出息,chūxī,to exhale (Buddhism); to yield interest, profit etc
生机,shēngjī,life force; opportunity to live; to reprieve from death; vitality
花瓣,huābàn,petal
凡是,fánshì,all; any; each and every; every
应邀,yìngyāo,at sb's invitation; on invitation
舱,cāng,cabin; the hold of a ship or airplane
尸体,shītǐ,carcass; corpse; dead body
素质,sùzhì,basic essence; inner quality
判决,pànjué,judgment (by a court of law); to pass judgment on; to sentence
冷落,lěngluò,desolate; to cold shoulder; to snub; to treat sb coldly; unfrequented
资深,zīshēn,highly experienced; senior; veteran (journalist etc)
兜,dōu,bag; combat armor (old); pocket; to canvas or solicit; to disclose in detail; to move in a circle; to take responsibility for; to wrap up or hold in a bag
遵循,zūnxún,to follow; to abide by; to comply with
方圆,fāngyuán,(within) a radius of ...; perimeter; range
激发,jīfā,(physics) to excite; to arouse; to stimulate
能量,néngliàng,capabilities; energy
称号,chēnghào,name; term of address; title
打击,dǎjī,(psychological) shock; blow; percussion (music); to attack; to crack down on sth; to hit; to strike
端,duān,end; extremity; item; port; regular; to carry; to hold sth level with both hands
端,duān,origin; start
经纬,jīngwěi,longitude and latitude; main points; warp and woof
功劳,gōngláo,contribution; credit; meritorious service
戒备,jièbèi,to guard against (emergency); to take precautions
杠杆,gànggǎn,crowbar; financial leverage; lever; pry bar
包袱,bāofu,a bundle wrapped in cloth; burden; funny part; load; punchline; weight; wrapping cloth
崩溃,bēngkuì,to collapse; to crumble; to fall apart
风度,fēngdù,elegance (for men); elegant demeanor; grace; poise
埋没,máimò,to bury; to engulf; to fall into oblivion; to neglect; to overlook; to stifle
妥善,tuǒshàn,appropriate; proper
势力,shìli,a force (military, political etc); influence; power
古董,gǔdǒng,antique; curio
笨拙,bènzhuō,awkward; clumsy; stupid
周密,zhōumì,careful; dense; impenetrable; meticulous; thorough
奠定,diàndìng,to establish; to fix; to settle
辛勤,xīnqín,hardworking; industrious
拼命,pīnmìng,to do one's utmost; with all one's might; at all costs; (to work or fight) as if one's life depends on it
在意,zàiyì,to care about; to mind
纲领,gānglǐng,guiding principle; program (i.e. plan of action)
选拔,xuǎnbá,to select the best
评论,pínglùn,comment; commentary; to comment on; to discuss
遗失,yíshī,to lose; to leave behind (inadvertently)
疲惫,píbèi,beaten; exhausted; tired
一如既往,yīrújìwǎng,continuing as always; just as in the past (idiom); as before
呈现,chéngxiàn,to appear; to demonstrate; to emerge; to present (a certain appearance)
物资,wùzī,goods; supplies
体裁,tǐcái,form of writing; genre; style
衔接,xiánjiē,to link up; to connect; to join
设立,shèlì,to set up; to establish
赋予,fùyǔ,to assign; to bestow; to entrust (a task); to give
打仗,dǎzhàng,to fight a battle; to go to war
系列,xìliè,series; set
股份,gǔfèn,a share (in a company); stock
大臣,dàchén,cabinet minister; chancellor (of a monarchy)
扮演,bànyǎn,to act; to play the role of
捣乱,dǎoluàn,to bother sb intentionally; to disturb; to look for trouble; to stir up a row
心血,xīnxuè,expenditure (for some project); heart's blood; meticulous care
膝盖,xīgài,(Internet slang) to kneel down (in admiration); knee
种族,zhǒngzú,ethnicity; race
得力,délì,able; capable; competent; efficient
天生,tiānshēng,disposition; innate; natural; nature
乘,shèng,(archaic) four; (archaic) four horse military chariot; generic term for history books
乘,chéng,Buddhist sect or creed; to avail oneself of; to make use of; to mount; to multiply (math.); to ride; to take advantage of
间谍,jiàndié,spy
疙瘩,gēda,knot; lump; preoccupation; problem; swelling or lump on skin; pimple
董事长,dǒngshìzhǎng,chairman of the board of directors
活该,huógāi,(coll.) serve sb right; deservedly; ought; should
分辨,fēnbiàn,to distinguish; to differentiate; to resolve
从容,cóngróng,calm; to go easy; unhurried
旋律,xuánlü,melody
记性,jìxing,memory (ability to retain information)
曝光,bàoguāng,(advertising) exposure; (fig.) to expose (a scandal); to expose (photography)
浓厚,nónghòu,deep; dense; fully saturated (color); thick (fog, clouds etc); to have a strong interest in
立足,lìzú,to base oneself on; to be established; to have a footing; to stand
海拔,hǎibá,elevation; height above sea level
耍,shuǎ,to act (cool etc); to display (a skill, one's temper etc); to play with; to wield
明明,míngmíng,definitely; obviously; plainly; undoubtedly
开采,kāicǎi,to exploit; to extract (ore or other resource from a mine); to mine
文雅,wényǎ,elegant; refined
演奏,yǎnzòu,to perform on a musical instrument
乐谱,yuèpǔ,a musical score; sheet music
开明,kāimíng,enlightened; enlightenment; open-minded
水利,shuǐlì,irrigation works; water conservancy
口腔,kǒuqiāng,oral cavity
坦白,tǎnbái,forthcoming; honest; to confess
集团,jítuán,bloc; conglomerate; corporation; group
灵敏,língmǐn,clever; keen; quick; sensitive; sharp; smart
起草,qǐcǎo,to draw up (plans); to make a draft
气功,qìgōng,qigong, a traditional Chinese system of cultivating vital energy 氣|气[qi4] through coordinated breathing, movement and meditation
实力,shílì,strength
感染,gǎnrǎn,(fig.) to influence; to infect; infection
繁忙,fánmáng,bustling; busy
进展,jìnzhǎn,to make headway; to make progress
田野,tiányě,field; open land
定期,dìngqī,at regular intervals; at set dates; fixed term; limited to a fixed period of time; periodic
预先,yùxiān,beforehand; in advance
比喻,bǐyù,analogy; figuratively; figure of speech; metaphor; to compare; to liken to
动员,dòngyuán,mobilization; to mobilize
风气,fēngqì,atmosphere; common practice; general mood
谦逊,qiānxùn,humble; modest; modesty; unpretentious
呼啸,hūxiào,to whistle; to scream; to whiz
提议,tíyì,proposal; suggestion; to propose; to suggest
内在,nèizài,innate; inner; internal; intrinsic
审美,shěnměi,appreciating the arts; esthetics; taste
新陈代谢,xīnchéndàixiè,metabolism (biology); the new replaces the old (idiom)
支配,zhīpèi,to allocate; to control; to dominate
初步,chūbù,initial; preliminary; tentative
贵族,guìzú,aristocracy; aristocrat; lord; nobility; nobleman; noblewoman
依靠,yīkào,to depend on; to rely on sth (for support etc)
恩怨,ēnyuàn,gratitude and grudges; grievances; grudges; resentment
间接,jiànjiē,indirect
直径,zhíjìng,diameter
喜闻乐见,xǐwénlèjiàn,to love to hear and see (idiom); to one's liking; well received
安详,ānxiáng,serene
冲击,chōngjī,(of waves) to pound against; impact; shock; to attack; to batter
学位,xuéwèi,academic degree; place in school
原始,yuánshǐ,first; original; original (document etc); primitive
考验,kǎoyàn,ordeal; to put to the test; to test; trial
保卫,bǎowèi,to defend; to safeguard
摊,tān,to spread out; vendor's stand
督促,dūcù,to supervise and urge completion of a task; to urge on
扰乱,rǎoluàn,to disturb; to harass; to perturb
深沉,shēnchén,(of a person) reserved; (of a voice, sound etc) deep; deep; low-pitched; profound; undemonstrative
事态,shìtài,existing state of affairs; situation
陈述,chénshù,an assertion; to declare; to state
起源,qǐyuán,origin; to come from; to originate
缠绕,chánrào,to bother; to pester; to twine; to wind; twisting
节奏,jiézòu,beat; cadence; musical pulse; rhythm; tempo
疑惑,yíhuò,misgivings; suspicions; to distrust; to doubt; to puzzle over; unconvincing
描绘,miáohuì,to describe; to portray
陡峭,dǒuqiào,precipitous
展示,zhǎnshì,to reveal; to display; to show; to exhibit
颤抖,chàndǒu,to shake; to shiver; to shudder; to tremble
濒临,bīnlín,(fig.) on the verge of; close to; on the edge of
罪犯,zuìfàn,criminal
指示,zhǐshì,directives; instructions; to indicate; to instruct; to point out
饶恕,ráoshù,to forgive; to pardon; to spare
籍贯,jíguàn,one's native place; place of ancestry; registered birthplace
裁判,cáipàn,judge; judgment; referee; to referee; umpire
潇洒,xiāosǎ,confident and at ease; free and easy
喇叭,lǎba,brass wind instrument; horn (automobile etc); loudspeaker; suona 鎖吶|锁呐[suo3 na4]; trumpet
深奥,shēnào,abstruse; profound; profoundly; recondite
淡季,dànjì,off season; slow business season
迸发,bèngfā,to burst forth
心疼,xīnténg,to be distressed; to feel sorry for sb; to grudge; to love dearly; to regret
魔术,móshù,magic
气味,qìwèi,odor; scent
携带,xiédài,to carry (on one's person); to support (old)
遗产,yíchǎn,bequest; heritage; inheritance; legacy
制裁,zhìcái,punishment; sanctions (incl. economic); to punish
受罪,shòuzuì,a hard time; a nuisance; hardships; to endure; to suffer; torments
名誉,míngyù,emeritus (of retired professor); fame; honor; honorary; reputation
虚假,xūjiǎ,false; phony; pretense
苍白,cāngbái,pale; wan
操劳,cāoláo,to look after; to work hard
施加,shījiā,to exert (effort or pressure)
陈旧,chénjiù,old-fashioned
蔚蓝,wèilán,azure; sky blue
讨好,tǎohǎo,a fruitful outcome to reward one's labor; to curry favor with; to get the desired outcome; to win favor by fawning on sb
依赖,yīlài,to be dependent on; to depend on
履行,lüxíng,to carry out (a task); to fulfill (one's obligations); to implement (an agreement); to perform
作弊,zuòbì,to cheat; to engage in corrupt practices; to practice fraud
祖国,zǔguó,motherland
器材,qìcái,equipment; material
乐意,lèyì,content; satisfied; to be happy to do sth; to be ready to do sth; to be willing to do sth
迷惑,míhuo,to baffle; to confuse; to puzzle
本钱,běnqián,(fig.) asset; advantage; the means (to do sth); capital
遭殃,zāoyāng,to suffer a calamity
不可思议,bùkěsīyì,inconceivable (idiom); unimaginable; unfathomable
纠纷,jiūfēn,dispute
日新月异,rìxīnyuèyì,daily renewal, monthly change (idiom); every day sees new developments; rapid progress
丘陵,qiūlíng,hills
细菌,xìjūn,bacterium; germ
兢兢业业,jīngjīngyèyè,(idiom) conscientious; assiduous
规章,guīzhāng,regulation; rule
天然气,tiānránqì,natural gas
上级,shàngjí,higher authorities; superiors
岔,chà,bifurcation; branch in road, river, mountain range etc; fork in road; to branch off; to change the subject; to diverge; to interrupt; to stagger (times); to stray (from the path); to turn off
展望,zhǎnwàng,outlook; prospect; to look ahead; to look forward to
将军,Jiāngjūn,(common place name)
将军,jiāngjūn,fig. to embarrass; general; high-ranking military officer; to challenge; to check or checkmate; to put sb on the spot
协商,xiéshāng,agreement; to consult with; to talk things over
荣誉,róngyù,(honorable) reputation; credit; glory; honor; honorary
畜牧,xùmù,to raise animals
一度,yīdù,at one time; for a time; once; one time
相差,xiāngchà,discrepancy between; to differ
回避,huíbì,to avoid (sb); to evade (an issue); to recuse (a judge etc); to shun; to skirt; to step back; to withdraw
发育,fāyù,(sexually) mature; development; growth; to develop; to mature
码头,mǎtóu,dock; pier; wharf
恨不得,hènbude,wishing one could do sth; to hate to be unable; itching to do sth
残忍,cánrěn,cruel; mean; merciless; ruthless
公关,gōngguān,public relations
托运,tuōyùn,to check through (baggage); to consign (goods)
背诵,bèisòng,to recite; to repeat from memory
窜,cuàn,to amend or edit; to exile or banish; to flee; to scuttle
机构,jīgòu,agency; institution; mechanism; organization; structure
倾听,qīngtīng,to listen attentively
淡水,Dànshuǐ,Tamsui or Danshui, district of New Taipei City 新北市[Xin1 bei3 shi4], Taiwan
淡水,dànshuǐ,fresh water; potable water (water with low salt content)
颠簸,diānbǒ,(fig.) to undergo a rough experience; to be jolted around (car on a bumpy road, boat on a rough sea, aircraft experiencing turbulence)
布告,bùgào,bulletin; notice; posting on a bulletin board; to announce
指标,zhǐbiāo,(computing) pointer; (production) target; index; indicator; quota; sign; signpost
往事,wǎngshì,former happenings; past events
港口,gǎngkǒu,harbor; port
划分,huàfēn,to differentiate; to divide up; to partition
引用,yǐnyòng,(computing) reference; to appoint; to cite; to quote; to recommend
大肆,dàsì,unbridled; wantonly; without restraint (of enemy or malefactor)
镇定,zhèndìng,calm; cool; unperturbed
资本,zīběn,capital (economics)
连锁,liánsuǒ,chain (store etc); to be linked; to interlock
子弹,zǐdàn,bullet
肺,fèi,lung
欢乐,huānlè,gaiety; gay; gladness; glee; happy; joyous; merriment; pleasure
算数,suànshù,to count (i.e. to be important); to count numbers; to hold (i.e. to remain valid); to keep to one's word
幅度,fúdù,extent; range; scope; width
耸,sǒng,high; lofty; to excite; to raise up; to shrug; towering
流通,liútōng,circulation; distribution; to circulate; to distribute
收益,shōuyì,earnings; profit
确立,quèlì,to establish; to institute
处分,chǔfèn,disciplinary action; to deal with (a matter); to discipline sb; to punish
放射,fàngshè,radioactive; to radiate
偏偏,piānpiān,(indicates that sb or a group is singled out) precisely; (indicates that sth is the opposite of what would be normal or reasonable) stubbornly; (indicates that sth turns out just the opposite of what one would wish) unfortunately; against reason; as it happened; contrarily; of all people; only
爽快,shuǎngkuai,frank and straightforward; refreshed; rejuvenated
化肥,huàféi,fertilizer
符号,fúhào,symbol; mark; sign
斟酌,zhēnzhuó,to consider; to deliberate; to fill up a cup to the brim
岗位,gǎngwèi,a post; a job
隐约,yǐnyuē,faint; indistinct; vague
种植,zhòngzhí,to plant; to grow (a crop); to cultivate
慢性,mànxìng,chronic (disease); slow and patient; slow to take effect (e.g. a slow poison)
强迫,qiǎngpò,to compel; to force
顽强,wánqiáng,hard to defeat; tenacious
爆炸,bàozhà,explosion; to blow up; to detonate; to explode
共计,gòngjì,to sum up to; to total
预兆,yùzhào,omen; prior indication; sign (of sth yet to occur); to foreshadow
务必,wùbì,must; to be sure to; to need to
心灵,xīnlíng,bright; heart; quick-witted; smart; spirit; thoughts
界限,jièxiàn,boundary
固然,gùrán,admittedly (it's true that...)
逮捕,dàibǔ,an arrest; to apprehend; to arrest
反常,fǎncháng,abnormal; unusual
屁股,pìgu,back part; bottom; butt; buttocks
船舶,chuánbó,boats; shipping
书籍,shūjí,books; works
潜移默化,qiányímòhuà,imperceptible influence; to influence secretly
示意,shìyì,to hint; to indicate (an idea to sb)
扎,zā,classifier for flowers, banknotes etc: bundle; to bind; to tie
扎,zhā,(of troops) to be stationed (at)
扎,zhā,mug or jug used for serving beer (loanword from "jar"); to prick; to run or stick (a needle etc) into
兑现,duìxiàn,(of a check etc) to cash; to honor a commitment
层出不穷,céngchūbùqióng,breeding like flies (idiom); innumerable succession; more and more emerge
汹涌,xiōngyǒng,to surge up violently (of ocean, river, lake etc); turbulent
巩固,gǒnggù,consolidation; to consolidate; to strengthen
钻石,zuànshí,diamond
画蛇添足,huàshétiānzú,lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous; to overdo it
停泊,tíngbó,anchorage; mooring (of a ship); to anchor
水龙头,shuǐlóngtóu,faucet; tap
油漆,yóuqī,lacquer; oil paints; to paint
遮挡,zhēdǎng,to shelter; to shelter from
沉着,chénzhuó,calm and collected; not nervous; steady
搂,lōu,to draw towards oneself; to extort; to gather; to gather up (one's gown, sleeves etc); to grab (money)
搂,lǒu,to embrace; to hold in one's arms; to hug
壮烈,zhuàngliè,brave; heroic
无理取闹,wúlǐqǔnào,to make trouble without reason (idiom); to be deliberately provocative
饲养,sìyǎng,to raise; to rear
防守,fángshǒu,to defend; to protect (against)
抚摸,fǔmō,to fondle; to gently caress and stroke; to pet
瞄准,miáozhǔn,to take aim at; to target
生物,shēngwù,biological; life form; living creature; organism
示威,shìwēi,a demonstration; a military show of force; to demonstrate (as a protest)
修养,xiūyǎng,accomplishment; self-cultivation; training
延伸,yánshēn,to extend; to spread
照样,zhàoyàng,(same) as usual; as before; in the same manner; nevertheless; still
雄伟,xióngwěi,grand; imposing; magnificent; majestic
弥漫,mímàn,about to inundate (water); diffuse; everywhere present; filled with (dust); permeated by (smoke); to fill the air; to pervade; to saturate (the air with fog, smoke etc)
纺织,fǎngzhī,spinning and weaving
挎,kuà,to carry (esp. slung over the arm, shoulder or side)
兴隆,Xīnglóng,Xinglong county in Chengde 承德[Cheng2 de2], Hebei
兴隆,xīnglóng,flourishing; prosperous; thriving
渔民,yúmín,fisher folk; fisherman
变质,biànzhì,(geology) metamorphism; (of food) to go bad; to go off; to degenerate; to deteriorate
原先,yuánxiān,former; original; originally
典型,diǎnxíng,archetype; model; representative; typical; typical case
晾,liàng,(fig.) to cold-shoulder; to dry in the air
笼罩,lǒngzhào,to envelop; to shroud
答辩,dábiàn,to defend one's dissertation; to reply (to an accusation)
诞辰,dànchén,birthday
城堡,chéngbǎo,castle; rook (chess piece)
新颖,xīnyǐng,fig. new and original; lit. new bud
使命,shǐmìng,a calling; long-term task to which one devotes oneself; mission
压榨,yāzhà,to extract juice, oil etc by squeezing; to press; to squeeze
氧气,yǎngqì,oxygen
敏捷,mǐnjié,nimble; quick; shrewd
例外,lìwài,exception; to be an exception
附件,fùjiàn,appendix; attachment (email); enclosure
举世瞩目,jǔshìzhǔmù,to receive worldwide attention
残酷,cánkù,cruel; cruelty
投掷,tóuzhì,to flip (a coin); to hurl; to throw (dice etc); to throw at; to throw sth a long distance
根深蒂固,gēnshēndìgù,deep-rooted (problem etc)
无耻,wúchǐ,shameless; unembarrassed; without any sense of shame
审理,shěnlǐ,to hear (a case)
飞翔,fēixiáng,to circle in the air; to soar
带领,dàilǐng,to guide; to lead
肥沃,féiwò,fertile
斯文,sīwén,cultured; educate; gentle; intellectual; polite; refined
出身,chūshēn,class origin; family background; to be born of; to come from
动手,dòngshǒu,to hit; to punch; to set about (a task); to touch
沿海,yánhǎi,coastal
平庸,píngyōng,commonplace; indifferent; mediocre
天堂,tiāntáng,heaven; paradise
协助,xiézhù,to aid; to provide assistance
嘈杂,cáozá,clamorous; noisy
探讨,tàntǎo,to investigate; to probe
构思,gòusī,composition; conception; idea; plan; to compose; to design; to draw a mental sketch; to plan out; to plot
横,héng,(in fixed expressions) harsh and unreasonable; across; chaotic; crosswise; horizontal; horizontal stroke (in Chinese characters); in a jumble; to cross (a river, etc); to place (sth) flat (on a surface); violent
横,hèng,harsh and unreasonable; unexpected
深情厚谊,shēnqínghòuyì,deep friendship
根源,gēnyuán,origin; root (cause)
彩票,cǎipiào,lottery ticket
塑造,sùzào,(fig.) to create (a character, a market, an image etc); (literature) to portray (in words); to model; to mold
延续,yánxù,to continue; to go on; to last
乌黑,wūhēi,dark; jet-black
神奇,shénqí,magical; miraculous; mystical
轮胎,lúntāi,tire; pneumatic tire
致力,zhìlì,to devote one's efforts to; to work for
熨,yù,reconciled; smooth
熨,yùn,an iron; to iron
面子,miànzi,outer surface; the outside of sth; social prestige; face
面子,miànzi,(medicinal) powder
拼搏,pīnbó,to struggle; to wrestle
不像话,bùxiànghuà,outrageous; shocking; unreasonable
交涉,jiāoshè,to have dealings (with); to negotiate (with)
栋,dòng,classifier for houses or buildings; ridgepole (old)
完备,wánbèi,complete; faultless; perfect; to leave nothing to be desired
恶心,èxīn,bad habit; vice; vicious habit
恶心,ěxīn,disgust; nausea; nauseating; to embarrass (deliberately); to feel sick
湖泊,húpō,lake
索性,suǒxìng,just; simply; you might as well (do it)
哭泣,kūqì,to weep
摇摆,yáobǎi,to sway; to waver; to wobble
产业,chǎnyè,estate; industrial; industry; property
补救,bǔjiù,to remedy
攻击,gōngjī,an attack (terrorist or military); to accuse; to attack; to charge
顾问,gùwèn,adviser; consultant
征收,zhēngshōu,to expropriate; to levy (a tax)
候选,hòuxuǎn,candidate (attributive)
称心如意,chènxīnrúyì,(idiom) after one's own heart; gratifying; satisfactory; everything one could wish
毫无,háowú,not in the least; to completely lack
处置,chǔzhì,to handle; to punish; to take care of
检验,jiǎnyàn,to examine; to inspect; to test
腐蚀,fǔshí,corrosion; corruption; to corrode (degrade chemically); to rot
备份,bèifèn,backup
简化,jiǎnhuà,to simplify
废除,fèichú,to abolish; to abrogate; to repeal
智商,zhìshāng,IQ (intelligence quotient)
狭隘,xiáài,lacking in experience; narrow; narrow minded; tight
剧本,jùběn,scenario; screenplay; script for play, opera, movie etc
政策,zhèngcè,policy
投诉,tóusù,complaint; to complain; to register a complaint (esp. as a customer)
胡乱,húluàn,absent-mindedly; any old how; at random; at will; careless; casually; reckless
坟墓,fénmù,grave; tomb
奥秘,àomì,mystery; secret
同胞,tóngbāo,born of the same parents; compatriot; fellow citizen; sibling
物业,wùyè,property; real estate
领悟,lǐngwù,to comprehend; to understand
心眼儿,xīnyǎnr,baseless suspicions; intention; mind; one's thoughts; willingness to accept new ideas
请示,qǐngshì,to ask for instructions
